soil_sp,decay_cat,soil_inoculum,seedling_sp,pot_id,pair_id,block_id,survival,12/26,1/13,2/1,2/18,3/2,3/15,3/27,4/10,4/26,5/19,5/29,apical_wilt
MACHZU,shortd,live,MACHZU,40,f,M,,4.4,5.2,5.6,5.7,6,6.2,6.5,7,7.2,7.6,7.6,0
MACHZU,longd,sterile,MACHZU,161,a,K,,4.3,5.3,5.5,6.7,7,7.1,7.5,8.4,8.2,8.9,9.1,0
MACHZU,longd,sterile,MACHZU,162,j,M,,3.2,3.5,4.4,5.1,5.2,5.5,5.7,5.7,6.4,7,7.4,0
MACHZU,longd,sterile,MACHZU,163,h,M,,6.1,7.3,7.6,10.2,11,11.9,13,13.7,15,15,15.8,0
MACHZU,longd,sterile,MACHZU,164,i,M,,4.8,6.2,6.4,8.9,9.8,10.3,10.3,10.7,11,11.8,12.2,0
MACHZU,longd,sterile,MACHZU,165,g,M,,4.1,5.5,6.5,9,10.1,10.7,11.3,12.5,12.5,13.1,13.5,0
MACHZU,longd,sterile,MACHZU,166,c,K,,4.7,5,5.5,6.1,6.7,7.1,7.6,8,8.5,9,9.4,0
MACHZU,longd,sterile,MACHZU,167,b,K,,4.1,5.2,6.1,6.7,7.6,7.6,8.1,9.1,9.4,10.4,10.5,0
MACHZU,longd,sterile,MACHZU,168,f,M,,5.4,6.4,7,8.2,8.6,9,9.3,10,10.7,12,12,0
MACHZU,longd,sterile,MACHZU,169,d,K,,3.7,4.7,5.4,6,6.5,6.7,7.1,7.8,8.2,9.1,9.1,0
MACHZU,longd,sterile,MACHZU,170,e,K,,6.5,7.1,7.3,7.8,8,8.6,8.6,9.5,10,10.5,10.9,0
MACHZU,longd,live,MACHZU,51,h,K,,3.3,4.5,5.2,5.5,5.9,6.4,6.7,7,7.5,7.6,8.2,0
MACHZU,longd,live,MACHZU,52,a,K,,5.1,5.5,6.4,7.7,8.5,8.5,9.5,9.5,11.1,12,14.3,0
MACHZU,longd,live,MACHZU,53,b,K,,4.9,5.4,5.8,6,6.1,6.5,7.2,7.7,8.6,8.9,9.3,0
MACHZU,longd,live,MACHZU,54,g,K,,4.7,6,6.5,7.7,8.1,8.5,9.4,10.5,11.3,12.5,13.5,0
MACHZU,longd,live,MACHZU,55,j,K,,4.2,4.7,6.4,7,7.3,8.1,8.5,9.6,10,11,11.4,0
MACHZU,longd,live,MACHZU,56,c,K,,6,6.8,8.2,9,9.5,9.7,10.8,11.4,12,13.2,13.8,0
MACHZU,longd,live,MACHZU,57,d,K,,6.1,6.6,8.1,9.1,10,10.3,11.1,11.1,12,12.4,12.9,0
MACHZU,longd,live,MACHZU,58,i,K,,4.4,5.2,5.9,6.9,7,7.1,7.6,8.1,8.7,9,9.2,0
MACHZU,longd,live,MACHZU,59,e,K,,4.7,5.7,6.5,7,7.4,8,8.9,9.5,12.2,14.8,14.9,0
MACHZU,longd,live,MACHZU,60,f,K,,4.4,5.2,6.1,6.7,7,7,7,7,6,6,5.9,1
ENGERO,fresh,sterile,MACHZU,61,d,A,,7.1,7.5,8,9.2,9.8,10.2,10.6,11.2,12.6,13.5,13.6,0
ENGERO,fresh,sterile,MACHZU,62,a,A,,7.2,8.1,8.5,9.2,10.5,12.1,13.6,14.2,15.6,16.2,16.8,0
ENGERO,fresh,sterile,MACHZU,63,c,A,,5.8,6.5,7,7.5,8,8.1,8.5,9.1,9.4,10.8,11,0
ENGERO,fresh,sterile,MACHZU,64,f,A,,5.6,6.4,7,8.5,10,10.3,11.2,12,12.5,14,15.1,0
ENGERO,fresh,sterile,MACHZU,65,j,A,,5.4,7.6,7.7,8.9,9.4,9.7,10.2,10.4,10.4,11.1,12,0
ENGERO,fresh,sterile,MACHZU,66,e,A,,6.1,6.4,7,7.8,8.3,8.6,8.9,9.7,10.6,12.2,13,0
ENGERO,fresh,sterile,MACHZU,67,i,A,,4.5,5.1,6.1,7.1,7.6,8,8.2,8.7,9.2,9.9,10.3,0
ENGERO,fresh,sterile,MACHZU,68,b,A,,5.2,5.8,6,7.9,8.5,8.8,9.6,10.4,11.3,11.6,12.2,0
ENGERO,fresh,sterile,MACHZU,69,g,A,,5.6,6.6,7.5,9,9.9,10.1,11.1,12,13.2,14.5,15.2,0
ENGERO,fresh,sterile,MACHZU,70,h,A,,6.3,7.2,7.8,9,10.2,11.5,12.8,13.4,14.2,17.1,18,0
ENGERO,fresh,live,MACHZU,71,f,E,,4.5,5.9,7.5,8.2,8.6,9.3,9.4,10.5,12.1,14.3,15.4,0
ENGERO,fresh,live,MACHZU,72,c,E,,5.3,6.2,7,8.3,8.3,9.2,10.4,11,11.9,12.6,12.6,0
ENGERO,fresh,live,MACHZU,73,b,E,,7,8.1,8.7,9.7,10.3,11,12.1,12.6,13.2,14.5,14.6,0
ENGERO,fresh,live,MACHZU,74,j,E,,5.6,6.1,6.8,8.7,10.1,10.7,11.5,11.5,12.3,12.6,13.4,0
ENGERO,fresh,live,MACHZU,75,d,E,,5.5,7.1,8.6,9.5,10.7,11.5,12.8,13.4,14.7,17.8,18.5,0
ENGERO,fresh,live,MACHZU,76,a,E,,6.6,7.4,8.6,9.1,9.5,10.3,11.5,12..2,13,13.5,13.5,0
ENGERO,fresh,live,MACHZU,77,i,E,,5.1,5.8,7,8.1,8.4,8.7,9.1,9.6,10.1,10.2,10.5,0
ENGERO,fresh,live,MACHZU,78,h,E,,5.1,6.4,7.9,8.6,9.5,9.7,10.2,11,11.5,13.8,13.8,0
ENGERO,fresh,live,MACHZU,79,g,E,,6.6,7.3,9.5,10.2,10.5,10.5,10.5,10.6,10.7,11.8,11.8,0
ENGERO,fresh,live,MACHZU,80,e,E,,6.1,7.3,8,8.2,9,9.1,9.6,10,10,10.8,11,0
ENGERO,shortd,sterile,MACHZU,81,g,G,,5.6,6,6.3,7.2,7.3,7.6,8.1,8.5,9.4,9.9,10,0
ENGERO,shortd,sterile,MACHZU,82,f,G,,5.4,5.9,6.6,7.2,7.2,7.5,7.7,8.6,8.6,8.6,8.6,0
ENGERO,shortd,sterile,MACHZU,83,i,G,,3.7,4.3,5,6.1,6.3,6.3,6.3,6.7,6.8,7.3,7.3,0
ENGERO,shortd,sterile,MACHZU,84,h,G,,4.3,4.9,5.5,6.1,6.5,7.1,7.5,7.5,8.7,8.7,9.1,0
ENGERO,shortd,sterile,MACHZU,85,b,G,,5.6,7,8.1,9.1,9.5,9.7,10.5,11,11.8,12.8,12.8,0
ENGERO,shortd,sterile,MACHZU,86,c,G,,4.4,5,5.7,6.3,6.6,6.7,7.9,8.2,8.5,9,9.2,0
