soil_sp,decay_cat,soil_inoculum,seedling_sp,pot_id,pair_id,block_id,survival,12/26,1/13,2/1,2/18,3/2,3/15,3/27,4/10,4/26,5/19,5/29,apical_wilt
ENGERO,fresh,live,ENGERO,200,j,N,,3.9,4.7,4.7,5.6,5.9,5.9,6,6,6.6,6.8,7.4,0
ENGERO,shortd,sterile,ENGERO,201,i,D,,5.3,5.9,7.1,8.1,8.4,9.2,10.2,11,12.5,13.5,13.7,0
ENGERO,shortd,sterile,ENGERO,202,e,J,,2.6,4.2,4.7,5.5,5.6,5.6,6.1,6.1,6.5,6.7,7,0
ENGERO,shortd,sterile,ENGERO,203,d,J,,4,4.9,6,7,7.4,8,8.5,9,9.7,10.3,10.3,0
ENGERO,shortd,sterile,ENGERO,204,h,D,,2.7,4.1,4.5,5,5.6,6.1,6.6,7.6,9.6,12,12.5,0
ENGERO,shortd,sterile,ENGERO,205,g,D,,4.3,5.5,6,6.5,6.6,7,7.4,7.9,8.4,9.5,10,0
ENGERO,shortd,sterile,ENGERO,206,f,D,,3.9,4.6,5.6,6.5,7,7.6,8,9.1,9.7,10.6,10.7,0
ENGERO,shortd,sterile,ENGERO,207,b,J,,3.4,4.8,5.4,6.2,6.8,7,7.2,8.1,8.4,8.9,9,0
ENGERO,shortd,sterile,ENGERO,208,c,J,,3.9,5.1,6.2,7,7.4,8.1,8.7,9.2,10,12.2,10.4,0
ENGERO,shortd,sterile,ENGERO,209,a,J,,4.8,6.4,7.3,8.5,9,9.5,9.9,10.5,11.8,13.6,15.5,0
ENGERO,shortd,sterile,ENGERO,210,j,D,,2.9,4.2,5.2,5.8,6.4,6.7,7,7.4,7.7,8.2,8.8,0
ENGERO,shortd,live,ENGERO,211,g,D,,3.9,5.4,6.8,8,8.2,8.7,9,9.5,10.2,11,11.5,0
ENGERO,shortd,live,ENGERO,212,a,D,,5.8,6.9,7.7,8.5,9.1,9.5,10,10,11,11.6,11.8,0
ENGERO,shortd,live,ENGERO,213,d,D,,3.7,4,5.1,5.5,5.6,5.7,6.2,6.5,7.6,8.3,8.7,0
ENGERO,shortd,live,ENGERO,214,c,D,,3.4,3.7,4.5,5,5.2,5.5,5.6,6.3,6.6,7.1,7.1,0
ENGERO,shortd,live,ENGERO,215,b,D,,4.5,5.5,6.2,7,7.2,7.3,7.5,7.5,8,8.6,8.6,0
ENGERO,shortd,live,ENGERO,216,i,D,,3.4,3.8,4.5,5,5.1,5.2,5.2,5.9,6,6.1,6.5,0
ENGERO,shortd,live,ENGERO,217,e,D,,4.4,5.2,6,6.7,6.7,7,7,7.4,8.1,8.5,8.7,0
ENGERO,shortd,live,ENGERO,218,j,D,,3.1,4,4.6,5.7,6.2,6.7,7.2,7.2,8.2,8.2,9,0
ENGERO,shortd,live,ENGERO,219,f,D,,4.2,5.1,5.9,6.5,6.6,7.1,7.2,7.5,8.3,9.4,9.6,0
ENGERO,shortd,live,ENGERO,220,h,D,,3.6,4.6,5.2,6,6.1,6.5,6.6,6.9,7.1,8.1,8.4,0
ENGERO,longd,sterile,ENGERO,221,a,O,,3.5,4.3,5.5,6.1,6.5,6.7,6.7,7.5,7.7,8.1,8.8,0
ENGERO,longd,sterile,ENGERO,222,g,I,,4.2,6.2,8.1,9.5,9.9,10.8,10.9,11.2,12,12.7,13.4,0
ENGERO,longd,sterile,ENGERO,223,e,O,,4.7,6.1,7.2,8,8.2,8.3,8.7,8.7,8.8,8.5,8.7,1
ENGERO,longd,sterile,ENGERO,224,i,I,,2.7,4.5,5.5,6.3,6.7,7,7.6,8,9.1,9.6,10.2,0
ENGERO,longd,sterile,ENGERO,225,f,I,,4.5,5.6,6.7,7.6,8.2,9.1,10.1,10.8,11.8,13.1,14,0
ENGERO,longd,sterile,ENGERO,226,h,I,,1.9,3.6,4.7,5.5,5.7,6,6.7,7.1,7.7,8.5,8.7,0
ENGERO,longd,sterile,ENGERO,227,d,O,,3.5,4.8,5.9,6.6,6.9,6.9,7,7.1,7.4,8.1,8.2,0
ENGERO,longd,sterile,ENGERO,228,c,O,,2.5,4.6,5.5,6.1,6.4,7,7.6,8.2,9,10.1,10.5,0
ENGERO,longd,sterile,ENGERO,229,j,I,,2.3,3.6,4.4,5.2,5.4,5.8,6,6,6.2,7,7.3,0
ENGERO,longd,sterile,ENGERO,230,b,O,,4.3,5.2,6,6.5,6.7,7.2,7.5,8,8.6,9.8,10.5,0
ENGERO,longd,live,ENGERO,231,d,I,,4.6,5.4,7,8,8.3,8.5,9.2,10,11,11.6,12,0
ENGERO,longd,live,ENGERO,232,a,I,,4.4,5.7,6.4,7.2,7.5,7.6,8,8.5,9.2,9.7,10.7,0
ENGERO,longd,live,ENGERO,233,c,I,,4.9,5.7,6.5,7.6,8.2,8.5,9,9.3,10.2,10.5,11.5,0
ENGERO,longd,live,ENGERO,234,e,I,,4.3,5.1,6,7,7.2,7.7,7.7,8.3,9,9.5,10.3,0
ENGERO,longd,live,ENGERO,235,j,I,,3.2,5.1,6.5,7.6,8.5,8.7,9.2,9.5,10.2,11.9,11.9,0
ENGERO,longd,live,ENGERO,236,h,I,,3.9,5,5.8,6.1,6.4,6.4,6.6,Dead,Dead,Dead,Dead,0
ENGERO,longd,live,ENGERO,237,b,I,,4.9,6.3,7.6,9,9.4,10,10.5,11,11.7,12.2,13.1,0
ENGERO,longd,live,ENGERO,238,g,I,,4.2,5.7,6.5,7.1,8,8.5,9,9.6,10.7,11.2,12,0
ENGERO,longd,live,ENGERO,239,f,I,,4.5,5.4,5.6,6.2,6.2,6.5,6.8,7.3,7.7,7.7,8.1,0
ENGERO,longd,live,ENGERO,240,i,I,,3.6,4.6,6.1,7.5,7.9,8.3,8.5,9.1,10,10.7,11,0
background,NA,NA,MACHZU,241,NA,F,,5,5.9,6.1,7.5,7.9,8.6,8.7,9.1,9.5,10.6,11.5,0
background,NA,NA,MACHZU,242,NA,F,,5.3,6.9,7.5,8.6,9.2,9.6,9.7,10,10.3,10.3,10.8,0
background,NA,NA,MACHZU,243,NA,F,,2.9,4,5.2,6.2,6.5,7,7.7,8.4,9.2,9.7,9.8,0
background,NA,NA,MACHZU,244,NA,F,,3.4,4.6,4.7,5.9,6.2,7,8,8.7,9.2,10.7,11.2,0
background,NA,NA,MACHZU,245,NA,F,,5.3,6.4,6.4,7,7.2,7.5,8,8,8.4,9,9.2,0
background,NA,NA,ENGERO,246,NA,F,,4.2,5.4,6.1,6.8,7.3,7.8,8.3,9.4,10.5,10.7,11.2,0
background,NA,NA,ENGERO,247,NA,F,,5.6,6,7.5,8,8.8,9.4,10.3,11.1,11.8,12.3,12.5,0
background,NA,NA,ENGERO,248,NA,F,,4.9,6.6,7.5,8.2,8.5,8.7,8.7,9.5,10.3,10.6,10.9,0
background,NA,NA,ENGERO,249,NA,F,,4.5,5.6,5.7,6.1,6.5,7,7.5,8.2,9,9.9,10.4,0
background,NA,NA,ENGERO,250,NA,F,,5.5,7.1,8,9.3,10.3,10.7,11.9,12.7,13.6,13.7,14.6,0
