"","Df","Variance","F","Pr(>F)"
"pH",1,0.0141228143697865,1.65611460919285,0.003
"layer",3,0.0262031508368427,1.02423921492156,0.339
"fern.size",1,0.0164891683491557,1.93360557474282,0.003
"Residual",57,0.486077723491713,NA,NA
