#OTU ID	1_V6V8	10_L_V6V8	10_M_V6V8	10_O_V6V8	10_U_V6V8	11_L_V6V8	11_M_V6V8	11_O_V6V8	11_U_V6V8	12_L_V6V8	12_M_V6V8	12_O_V6V8	12_U_V6V8	13_L_V6V8	13_M_V6V8	13_O_V6V8	13_U_V6V8	14_V6V8	15_V6V8	16_V6V8	17_L_V6V8	17_O_V6V8	17_U_V6V8	19_L_V6V8	19_M_V6V8	19_O_V6V8	19_U_V6V8	2_L_V6V8	2_O_V6V8	2_U_V6V8	20_L_V6V8	20_O_V6V8	20_U_V6V8	21_V6V8	22_L_V6V8	22_M_V6V8	22_O_V6V8	22_U_V6V8	23_L_V6V8	23_O_V6V8	23_U_V6V8	24_L_V6V8	24_O_V6V8	24_U_V6V8	25_L_V6V8	25_M_V6V8	25_O_V6V8	25_U_V6V8	3_V6V8	4_V6V8	5_L_V6V8	5_O_V6V8	5_U_V6V8	6_V6V8	7_L_V6V8	7_M_V6V8	7_O_V6V8	7_U_V6V8	8_L_V6V8	8_O_V6V8	8_U_V6V8	9_L_V6V8	9_M_V6V8	9_O_V6V8	9_U_V6V8	NC1_V6V8	NC2_V6V8	NC3_V6V8	NC4_V6V8	taxonomy
251184	16.0	0.0	28.0	0.0	95.0	0.0	0.0	0.0	0.0	37.0	46.0	69.0	56.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	31.0	17.0	201.0	90.0	0.0	25.0	0.0	0.0	0.0	20.0	0.0	0.0	27.0	206.0	0.0	0.0	0.0	36.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	74.0	0.0	0.0	23.0	33.0	34.0	43.0	131.0	0.0	22.0	0.0	25.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__tuberum
2280603	23.0	23.0	33.0	0.0	32.0	26.0	0.0	17.0	20.0	16.0	25.0	17.0	39.0	43.0	21.0	20.0	15.0	94.0	136.0	27.0	20.0	28.0	38.0	25.0	15.0	14.0	0.0	27.0	28.0	69.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	28.0	38.0	22.0	34.0	18.0	0.0	52.0	42.0	0.0	25.0	25.0	18.0	32.0	33.0	19.0	14.0	14.0	0.0	0.0	21.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Salinispora; s__
4318238	31.0	45.0	0.0	0.0	32.0	30.0	17.0	0.0	0.0	31.0	27.0	24.0	18.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	34.0	65.0	23.0	0.0	0.0	16.0	24.0	40.0	0.0	0.0	45.0	0.0	21.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	23.0	52.0	0.0	47.0	0.0	15.0	0.0	0.0	28.0	39.0	0.0	31.0	0.0	37.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
4427542	44.0	3.0	7.0	14.0	20.0	35.0	11.0	25.0	32.0	0.0	11.0	6.0	34.0	0.0	0.0	7.0	0.0	39.0	31.0	21.0	7.0	18.0	156.0	63.0	7.0	15.0	10.0	21.0	25.0	115.0	0.0	0.0	39.0	40.0	0.0	0.0	0.0	0.0	23.0	0.0	17.0	23.0	0.0	287.0	2.0	3.0	43.0	5.0	32.0	11.0	9.0	0.0	0.0	9.0	12.0	3.0	14.0	5.0	15.0	21.0	30.0	7.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__bryophila
112012	0.0	93.0	102.0	126.0	8.0	0.0	29.0	21.0	0.0	28.0	0.0	19.0	0.0	48.0	0.0	54.0	0.0	0.0	22.0	0.0	50.0	33.0	22.0	12.0	26.0	0.0	0.0	30.0	32.0	31.0	0.0	0.0	33.0	0.0	26.0	0.0	36.0	0.0	34.0	51.0	15.0	21.0	20.0	0.0	0.0	0.0	15.0	17.0	0.0	47.0	34.0	35.0	45.0	24.0	28.0	37.0	32.0	34.0	21.0	53.0	56.0	0.0	50.0	24.0	40.0	0.0	0.0	0.0	0.0	k__Bacteria; p__WPS-2; c__; o__; f__; g__; s__
4364247	5.0	15.0	12.0	7.0	51.0	3.0	0.0	0.0	4.0	0.0	2.0	0.0	1.0	0.0	0.0	11.0	0.0	6.0	4.0	0.0	71.0	17.0	483.0	1.0	0.0	2.0	0.0	5.0	3.0	13.0	0.0	0.0	9.0	83.0	0.0	0.0	0.0	0.0	17.0	0.0	31.0	8.0	0.0	18.0	15.0	9.0	24.0	32.0	5.0	9.0	0.0	0.0	0.0	50.0	22.0	27.0	19.0	16.0	17.0	40.0	20.0	9.0	19.0	0.0	11.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__
1142585	23.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	88.0	20.0	71.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	29.0	47.0	0.0	0.0	0.0	0.0	0.0	19.0	17.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	56.0	34.0	13.0	29.0	0.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	29.0	0.0	0.0	0.0	0.0	54.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__WPS-2; c__; o__; f__; g__; s__
553118	16.0	6.0	12.0	6.0	24.0	5.0	7.0	1.0	4.0	0.0	8.0	7.0	3.0	5.0	0.0	4.0	0.0	11.0	6.0	0.0	0.0	0.0	18.0	7.0	5.0	23.0	10.0	0.0	0.0	19.0	2.0	11.0	51.0	105.0	0.0	0.0	1.0	0.0	6.0	3.0	17.0	5.0	0.0	18.0	8.0	10.0	10.0	11.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0	4.0	10.0	25.0	2.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__bryophila
1142159	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	0.0	16.0	5.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	6.0	0.0	389.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__WPS-2; c__; o__; f__; g__; s__
156658	0.0	0.0	13.0	7.0	0.0	0.0	20.0	0.0	13.0	11.0	10.0	22.0	6.0	16.0	44.0	0.0	24.0	0.0	0.0	0.0	0.0	14.0	0.0	17.0	26.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	11.0	0.0	14.0	16.0	27.0	22.0	21.0	0.0	0.0	0.0	0.0	15.0	32.0	13.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	37.0	19.0	23.0	0.0	0.0	11.0	0.0	17.0	0.0	21.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__
4479483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	15.0	10.0	0.0	375.0	752.0	131.0	131.0	0.0	0.0	0.0	0.0	8.0	0.0	22.0	291.0	115.0	23.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	23.0	73.0	24.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Ktedonobacterales; f__Ktedonobacteraceae; g__; s__
100174	50.0	0.0	16.0	15.0	47.0	24.0	26.0	52.0	45.0	19.0	18.0	23.0	26.0	0.0	0.0	26.0	49.0	71.0	20.0	49.0	50.0	19.0	56.0	16.0	21.0	18.0	41.0	27.0	48.0	57.0	0.0	27.0	46.0	21.0	0.0	27.0	19.0	30.0	34.0	25.0	25.0	0.0	22.0	56.0	13.0	15.0	26.0	27.0	39.0	52.0	32.0	30.0	38.0	41.0	32.0	30.0	37.0	40.0	25.0	29.0	50.0	0.0	10.0	34.0	35.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__
512880	0.0	18.0	0.0	0.0	18.0	14.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	56.0	0.0	80.0	15.0	0.0	0.0	0.0	14.0	14.0	23.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	25.0	0.0	26.0	25.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	18.0	21.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
136276	62.0	43.0	46.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	19.0	53.0	0.0	0.0	0.0	0.0	0.0	25.0	105.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__WPS-2; c__; o__; f__; g__; s__
336202	0.0	3.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	13.0	0.0	2.0	0.0	0.0	30.0	0.0	0.0	0.0	35.0	11.0	0.0	0.0	0.0	0.0	0.0	22.0	8.0	26.0	40.0	0.0	4.0	0.0	0.0	0.0	51.0	4.0	0.0	10.0	0.0	31.0	199.0	81.0	37.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	4.0	0.0	1.0	5.0	32.0	10.0	0.0	11.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__
96893	26.0	58.0	39.0	37.0	15.0	27.0	26.0	0.0	17.0	0.0	0.0	0.0	25.0	61.0	0.0	13.0	0.0	0.0	71.0	0.0	0.0	0.0	10.0	23.0	0.0	0.0	0.0	0.0	27.0	4.0	11.0	16.0	16.0	19.0	16.0	0.0	0.0	0.0	64.0	9.0	0.0	26.0	11.0	27.0	135.0	20.0	45.0	17.0	0.0	0.0	27.0	0.0	13.0	0.0	21.0	13.0	0.0	7.0	17.0	14.0	55.0	18.0	10.0	0.0	4.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Salinispora; s__
570713	0.0	0.0	17.0	0.0	21.0	0.0	11.0	13.0	10.0	29.0	0.0	1.0	19.0	0.0	19.0	0.0	42.0	10.0	36.0	12.0	18.0	5.0	13.0	24.0	18.0	0.0	9.0	0.0	0.0	6.0	0.0	8.0	11.0	0.0	0.0	20.0	11.0	10.0	15.0	18.0	28.0	0.0	22.0	21.0	11.0	25.0	16.0	15.0	0.0	9.0	28.0	19.0	19.0	17.0	7.0	17.0	9.0	6.0	0.0	12.0	6.0	0.0	2.0	31.0	15.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__
156655	0.0	0.0	24.0	19.0	15.0	0.0	0.0	15.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	32.0	13.0	20.0	0.0	0.0	0.0	0.0	14.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	22.0	28.0	0.0	15.0	23.0	0.0	16.0	0.0	0.0	0.0	33.0	0.0	0.0	20.0	14.0	0.0	27.0	0.0	0.0	20.0	13.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
156849	0.0	0.0	0.0	0.0	0.0	20.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	88.0	59.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
155935	0.0	0.0	16.0	0.0	12.0	0.0	0.0	18.0	0.0	15.0	10.0	25.0	14.0	33.0	61.0	0.0	91.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	23.0	28.0	23.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	8.0	0.0	0.0	19.0	20.0	51.0	50.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__
2223007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	46.0	21.0	62.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	154.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	40.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus Koribacter; s__
662817	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	10.0	0.0	0.0	0.0	0.0	15.0	52.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	32.0	25.0	26.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	60.0	22.0	49.0	0.0	0.0	21.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__Opitutus; s__
74807	0.0	0.0	0.0	0.0	0.0	0.0	16.0	27.0	15.0	0.0	0.0	34.0	6.0	0.0	0.0	43.0	0.0	0.0	0.0	16.0	0.0	9.0	0.0	0.0	6.0	14.0	19.0	0.0	13.0	20.0	0.0	14.0	0.0	0.0	0.0	0.0	19.0	11.0	0.0	15.0	0.0	0.0	0.0	0.0	13.0	0.0	22.0	10.0	14.0	0.0	0.0	0.0	0.0	0.0	7.0	15.0	40.0	14.0	6.0	9.0	20.0	0.0	10.0	17.0	19.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
573717	2.0	12.0	24.0	16.0	85.0	8.0	14.0	0.0	30.0	0.0	21.0	27.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	22.0	13.0	24.0	36.0	11.0	0.0	0.0	4.0	0.0	0.0	13.0	31.0	0.0	0.0	0.0	0.0	3.0	0.0	6.0	4.0	0.0	2.0	2.0	6.0	3.0	10.0	8.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	2.0	1.0	3.0	3.0	7.0	5.0	0.0	10.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__bryophila
706296	0.0	0.0	0.0	45.0	21.0	0.0	38.0	0.0	25.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	6.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__
136135	0.0	0.0	0.0	24.0	5.0	5.0	4.0	10.0	0.0	0.0	0.0	23.0	0.0	45.0	0.0	0.0	0.0	14.0	0.0	14.0	8.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	18.0	0.0	9.0	10.0	12.0	16.0	18.0	0.0	15.0	1.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__
557394	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	28.0	13.0	0.0	0.0	21.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	23.0	21.0	19.0	0.0	0.0	0.0	0.0	23.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
1118978	0.0	0.0	7.0	0.0	14.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	33.0	23.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	23.0	0.0	0.0	31.0	38.0	66.0	27.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__
