"","X","soil_sp","decay_cat","sterilization","plant_sp","pot_id","pair_id","block_id","above_mass","below_mass","rosetting","replicate","total_mass","height","apical_wilt","growth_rate","root_shoot_ratio"
"237",237,"E","longd","live","E",237,"b","I",207.42,57.64,0,7,265.06,13.1,0,8.2,0.277890270947835
"238",238,"E","longd","live","E",238,"g","I",276.47,94.2,0,8,370.67,12,0,7.8,0.340724129200275
"239",239,"E","longd","live","E",239,"f","I",222.59,37.09,0,9,259.68,8.1,0,3.6,0.166629228626623
"240",240,"E","longd","live","E",240,"i","I",229.85,54.16,0,10,284.01,11,0,7.4,0.235631933869915
"241",241,"bg","bg","bg","M",241,NA,"F",474.69,147.77,0,1,622.46,11.5,0,6.5,0.311297899681898
"242",242,"bg","bg","bg","M",242,NA,"F",525.78,357.48,0,2,883.26,10.8,0,5.5,0.679904142416981
"243",243,"bg","bg","bg","M",243,NA,"F",403.46,166.04,0,3,569.5,9.8,0,6.9,0.411540177464928
"244",244,"bg","bg","bg","M",244,NA,"F",509.67,162.09,0,4,671.76,11.2,0,7.8,0.318029313084937
"245",245,"bg","bg","bg","M",245,NA,"F",219.74,127.96,0,5,347.7,9.2,0,3.9,0.582324565395467
"246",246,"bg","bg","bg","E",246,NA,"F",219.81,74.43,0,1,294.24,11.2,0,7,0.338610618261226
"247",247,"bg","bg","bg","E",247,NA,"F",645.36,184.06,0,2,829.42,12.5,0,6.9,0.285205156811702
"248",248,"bg","bg","bg","E",248,NA,"F",226.6,31.72,0,3,258.32,10.9,0,6,0.139982347749338
"249",249,"bg","bg","bg","E",249,NA,"F",441.24,80.54,0,4,521.78,10.4,0,5.9,0.182531048862297
"250",250,"bg","bg","bg","E",250,NA,"F",718.89,178.1,1,5,896.99,14.6,0,9.1,0.24774304831059
