"","X","soil_sp","decay_cat","sterilization","plant_sp","pot_id","pair_id","block_id","above_mass","below_mass","rosetting","replicate","total_mass","height","apical_wilt","growth_rate","root_shoot_ratio"
"55",55,"M","longd","live","M",55,"j","K",450.41,177.46,0,5,627.87,11.4,0,7.2,0.393996580892964
"56",56,"M","longd","live","M",56,"c","K",618.37,210.7,0,6,829.07,13.8,0,7.8,0.340734511700115
"57",57,"M","longd","live","M",57,"d","K",570.27,208.56,0,7,778.83,12.9,0,6.8,0.365721500341943
"58",58,"M","longd","live","M",58,"i","K",217.34,84.78,0,8,302.12,9.2,0,4.8,0.390080058893899
"59",59,"M","longd","live","M",59,"e","K",1219.83,990.1,0,9,2209.93,14.9,0,10.2,0.811670478673258
"60",60,"M","longd","live","M",60,"f","K",137.38,128.08,0,10,265.46,5.9,1,1.5,0.932304556704033
"61",61,"E","fresh","sterile","M",61,"d","A",588.48,223.11,0,1,811.59,13.6,0,6.5,0.379129282218597
"62",62,"E","fresh","sterile","M",62,"a","A",1184.13,647.55,0,2,1831.68,16.8,0,9.6,0.546857186288668
"63",63,"E","fresh","sterile","M",63,"c","A",310.8,105.15,0,3,415.95,11,0,5.2,0.338320463320463
"64",64,"E","fresh","sterile","M",64,"f","A",838.07,342.62,0,4,1180.69,15.1,0,9.5,0.408820265610271
"65",65,"E","fresh","sterile","M",65,"j","A",489.27,251.98,0,5,741.25,12,0,6.6,0.515012160974513
"66",66,"E","fresh","sterile","M",66,"e","A",377.46,176.71,0,6,554.17,13,0,6.9,0.468155566152705
"67",67,"E","fresh","sterile","M",67,"i","A",353.48,102.42,0,7,455.9,10.3,0,5.8,0.289747651918072
"68",68,"E","fresh","sterile","M",68,"b","A",474.5,338.14,0,8,812.64,12.2,0,7,0.712623814541623
"69",69,"E","fresh","sterile","M",69,"g","A",755,300.66,0,9,1055.66,15.2,0,9.6,0.398225165562914
"70",70,"E","fresh","sterile","M",70,"h","A",1245.96,474.91,0,10,1720.87,18,0,11.7,0.381159908825323
"71",71,"E","fresh","live","M",71,"f","E",1213.59,646.69,0,1,1860.28,15.4,0,10.9,0.532873540487315
"72",72,"E","fresh","live","M",72,"c","E",1621.38,1409.9,0,2,3031.28,12.6,0,7.3,0.869567898950277
"73",73,"E","fresh","live","M",73,"b","E",1580.36,1264.36,0,3,2844.72,14.6,0,7.6,0.800045559239667
"74",74,"E","fresh","live","M",74,"j","E",601.53,223.26,0,4,824.79,13.4,0,7.8,0.371153558426014
"75",75,"E","fresh","live","M",75,"d","E",1361.54,805.14,0,5,2166.68,18.5,0,13,0.591345094525317
"76",76,"E","fresh","live","M",76,"a","E",1761.95,1089.53,0,6,2851.48,13.5,0,6.9,0.618366014926644
"77",77,"E","fresh","live","M",77,"i","E",495.03,103.37,0,7,598.4,10.5,0,5.4,0.208815627335717
"78",78,"E","fresh","live","M",78,"h","E",547.8,156.26,0,8,704.06,13.8,0,8.7,0.285250091274188
"79",79,"E","fresh","live","M",79,"g","E",557.63,423.62,0,9,981.25,11.8,0,5.2,0.759679357279917
"80",80,"E","fresh","live","M",80,"e","E",263.5,111.53,0,10,375.03,11,0,4.9,0.42326375711575
"81",81,"E","shortd","sterile","M",81,"g","G",294.28,98.46,0,1,392.74,10,0,4.4,0.334579312219655
"82",82,"E","shortd","sterile","M",82,"f","G",228.57,135.53,0,2,364.1,8.6,0,3.2,0.5929474559216
"83",83,"E","shortd","sterile","M",83,"i","G",261.73,159.69,0,3,421.42,7.3,0,3.6,0.610132579375692
"84",84,"E","shortd","sterile","M",84,"h","G",381.67,183.02,0,4,564.69,9.1,0,4.8,0.479524196295229
"85",85,"E","shortd","sterile","M",85,"b","G",256.07,116.76,0,5,372.83,12.8,0,7.2,0.45596907095716
"86",86,"E","shortd","sterile","M",86,"c","G",183.05,119.92,0,6,302.97,9.2,0,4.8,0.655121551488664
"87",87,"E","shortd","sterile","M",87,"a","G",573.06,579.47,0,7,1152.53,14.4,0,7.4,1.01118556521132
"88",88,"E","shortd","sterile","M",88,"d","G",123.24,78.23,0,8,201.47,2.6,1,1.4,0.634777669587796
"89",89,"E","shortd","sterile","M",89,"j","G",246.77,105.74,0,9,352.51,9.4,0,4.5,0.428496170523159
"90",90,"E","shortd","sterile","M",90,"e","G",315.32,149.82,0,10,465.14,11.1,0,5.9,0.475136369402512
"91",91,"E","shortd","live","M",91,"e","J",1453.29,952.31,0,1,2405.6,14,0,9.4,0.655278712438674
"92",92,"E","shortd","live","M",92,"g","J",162.97,117.64,0,2,280.61,11.4,0,7.3,0.72185064735841
"93",93,"E","shortd","live","M",93,"j","J",374.83,239.98,0,3,614.81,8.7,0,4.7,0.64023690739802
"94",94,"E","shortd","live","M",94,"i","J",1019.79,371.92,0,4,1391.71,11.7,0,6.4,0.364702536796792
"95",95,"E","shortd","live","M",95,"a","J",1050.7,400.31,0,5,1451.01,12.2,0,7,0.380993623298753
"96",96,"E","shortd","live","M",96,"d","J",1293.94,941.33,0,6,2235.27,14.1,0,9.7,0.727491228341345
"97",97,"E","shortd","live","M",97,"f","J",138.63,166.11,0,7,304.74,5.9,0,1.4,1.19822549231768
"98",98,"E","shortd","live","M",98,"b","J",853.79,565.84,0,8,1419.63,13.5,0,6.4,0.662739081038663
"99",99,"E","shortd","live","M",99,"h","J",1115.89,811.06,0,9,1926.95,13,0,8.3,0.726827913145561
"100",100,"E","shortd","live","M",100,"c","J",456.02,151.89,0,10,607.91,9,0,5.3,0.333077496601026
"101",101,"E","longd","sterile","M",101,"c","O",214.43,96.35,0,1,310.78,11,0,6.3,0.449330783938814
"102",102,"E","longd","sterile","M",102,"a","O",268.19,157.96,0,2,426.15,7.6,1,2.8,0.588985420783773
"103",103,"E","longd","sterile","M",103,"d","O",185.34,71.71,0,3,257.05,8.2,0,5.2,0.386910542786231
"104",104,"E","longd","sterile","M",104,"h","O",507.02,465.55,0,4,972.57,11,0,8.6,0.918208354700012
"105",105,"E","longd","sterile","M",105,"f","O",306.55,122.27,0,5,428.82,9.4,0,5.2,0.398858261295058
"106",106,"E","longd","sterile","M",106,"j","O",199.71,120.92,0,6,320.63,7.2,0,4.7,0.605477943017375
"107",107,"E","longd","sterile","M",107,"b","O",547.85,228.36,0,7,776.21,11.5,0,7.3,0.41682942411244
"108",108,"E","longd","sterile","M",108,"e","O",162.13,90.17,0,8,252.3,9.5,0,4.8,0.556158638129896
"109",109,"E","longd","sterile","M",109,"g","O",671.74,226.37,0,9,898.11,13.7,0,10.4,0.336990502277667
"110",110,"E","longd","sterile","M",110,"i","O",167.99,86.87,0,10,254.86,7.2,0,3.8,0.517114113935353
"111",111,"E","longd","live","M",111,"c","Q",527.57,198.2,0,1,725.77,13,0,9,0.375684743256819
"112",112,"E","longd","live","M",112,"i","Q",179.39,81.25,0,2,260.64,7,1,3,0.452923797313117
"113",113,"E","longd","live","M",113,"a","Q",1020.68,480.66,0,3,1501.34,17.7,0,13,0.470921346553278
"114",114,"E","longd","live","M",114,"f","Q",222.27,144.86,0,4,367.13,6.3,0,3,0.651729878076214
"115",115,"E","longd","live","M",115,"h","Q",119.15,110.05,0,5,229.2,5.3,0,1.8,0.923625681913554
"116",116,"E","longd","live","M",116,"g","Q",195.68,109.15,0,6,304.83,9.2,0,6.2,0.557798446443173
"117",117,"E","longd","live","M",117,"j","Q",762.97,289.48,0,7,1052.45,10.3,0,6.3,0.379412034549196
"118",118,"E","longd","live","M",118,"b","Q",565.45,158.66,0,8,724.11,11.8,0,6.5,0.280590679989389
"119",119,"E","longd","live","M",119,"d","Q",544.32,213.64,0,9,757.96,14,0,10.4,0.392489711934156
"120",120,"E","longd","live","M",120,"e","Q",237.82,118.41,0,10,356.23,7,0,3,0.497897569590447
"121",121,"M","fresh","sterile","E",121,"a","P",441.25,68.35,1,1,509.6,11.8,0,5.3,0.154900849858357
