tag,sp,decay_cat,dbh,qx,qy,gx_new,gy_new,zone,sample_ID,for_soil_mix,pH,note
061827,MACHZU,Alive,15.6,6,10,6.5275,10.469,Zone 8,M19,Yes,3.63,
071553,MACHZU,2014_2019,19.9,7,10,7.487,10.102,Zone 8,M20,Yes,4.26,
120900,MACHZU,2009_2014,35,12,5,12.041,5.9925,Zone 8,M21,Yes,4.16,
131112,MACHZU,2014_2019,17.3,13,5,13.6665,5.681,Zone 8,M22,Yes,4.42,
170190,MACHZU,2014_2019,21.9,17,1,17.399,1.6495,Zone 10,M23,Yes,4.17,
160682,MACHZU,2009_2014,23,16,5,16.6675,5.6065,Zone 10,M24,Yes,3.83,
171234,MACHZU,2009_2014,17.1,17,8,17.046,8.6265,Zone 10,M25,Yes,4.09,
171563,MACHZU,Alive,14.5,17,9,17.561,9.916,Zone 10,M26,Yes,3.82,
171569,MACHZU,2014_2019,19.8,17,9,17.6935,9.9065,Zone 10,M27,Yes,3.91,
191762,MACHZU,Alive,19.7,19,9,19.727,9.228,Zone 10,M28,No,4.12,dead
201510,MACHZU,2014_2019,38,20,8,20.563,8.4115,Zone 10,M29,Yes,4.04,
200817,MACHZU,2009_2014,23.5,20,5,20.6955,5.946,Zone 10,M30,Yes,4.03,
200881,MACHZU,2014_2019,33.1,20,5,20.9135,5.2725,Zone 10,M31,No,4.85,
093801,MACHZU,2009_2014,32.6,9,19,9.61,19.136,Zone 3,missing,NA,NA,
134147,ENGERO,2009_2014,31.9,13,20,13.6785,20.985,Zone 4,missing,NA,NA,
232747,MACHZU,2014_2019,15.5,23,13,23.193,13.683,Zone 6,missing,NA,NA,
102801,ENGERO,2009_2014,31.6,10,13,10.651,13.014,Zone 8,missing,NA,NA,
052535,MACHZU,2014_2019,16.2,5,14,5.6885,14.2675,Zone 8,missing,NA,NA,
